Field,IAU,RA,Dec,F350,e_F350
CD-Abell-2218,2HERMES S350 SF J163413.3+661340,248.55568,66.22804,8.924846,0.6400712
CD-Abell-2218,2HERMES S350 SF J163416.2+661312,248.56772,66.22014,11.518936,0.627428
CD-Abell-2218,2HERMES S350 SF J163418.5+661456,248.5774,66.24897,18.312756,0.70596415
CD-Abell-2218,2HERMES S350 SF J163418.8+661648,248.57867,66.28011,4.90305,0.56701684
CD-Abell-2218,2HERMES S350 SF J163419.2+661213,248.58,66.20377,8.897734,0.61712086
CD-Abell-2218,2HERMES S350 SF J163419.9+661732,248.58302,66.29233,6.293763,0.67758274
CD-Abell-2218,2HERMES S350 SF J163421.1+661429,248.5882,66.24166,8.690565,0.6467492
CD-Abell-2218,2HERMES S350 SF J163421.3+661615,248.5889,66.27099,6.0379286,0.65635794
CD-Abell-2218,2HERMES S350 SF J163423.8+661542,248.59952,66.261696,20.06011,0.6282548
CD-Abell-2218,2HERMES S350 SF J163425.4+661339,248.60617,66.22771,14.153388,0.5684349
CD-Abell-2218,2HERMES S350 SF J163426.4+661135,248.6101,66.193184,11.965161,0.5726592
CD-Abell-2218,2HERMES S350 SF J163426.5+661530,248.61044,66.25835,25.824087,0.6365478
CD-Abell-2218,2HERMES S350 SF J163427.2+661156,248.61357,66.198944,21.530989,0.5898584
CD-Abell-2218,2HERMES S350 SF J163427.2+661316,248.61371,66.221176,18.4044,0.61682975
CD-Abell-2218,2HERMES S350 SF J163427.5+661703,248.61465,66.2842,25.07272,0.56632155
CD-Abell-2218,2HERMES S350 SF J163428.4+661215,248.6186,66.20443,13.238825,0.5659845
CD-Abell-2218,2HERMES S350 SF J163429.1+661034,248.62135,66.17637,11.514208,0.7050196
CD-Abell-2218,2HERMES S350 SF J163430.5+660944,248.62717,66.16235,29.612488,0.73124117
CD-Abell-2218,2HERMES S350 SF J163431.6+660925,248.63174,66.15701,23.565184,0.6631699
CD-Abell-2218,2HERMES S350 SF J163431.7+661151,248.63216,66.1976,6.8376555,0.5252532
CD-Abell-2218,2HERMES S350 SF J163431.7+661352,248.63237,66.23129,4.3321033,0.52987564
CD-Abell-2218,2HERMES S350 SF J163431.8+661037,248.6328,66.176994,11.026844,0.64858586
CD-Abell-2218,2HERMES S350 SF J163432.8+661558,248.63692,66.26633,8.29939,0.60608727
CD-Abell-2218,2HERMES S350 SF J163432.8+661700,248.63669,66.28346,6.760059,0.54332036
CD-Abell-2218,2HERMES S350 SF J163433.5+661316,248.63992,66.22125,28.58899,0.8056149
CD-Abell-2218,2HERMES S350 SF J163433.6+661304,248.64034,66.2179,15.473939,0.7858643
CD-Abell-2218,2HERMES S350 SF J163433.8+661206,248.6409,66.20183,4.087182,0.5174548
CD-Abell-2218,2HERMES S350 SF J163434.1+661618,248.6424,66.271805,16.19182,0.63274604
CD-Abell-2218,2HERMES S350 SF J163435.2+661515,248.64703,66.25419,62.751034,0.4861183
CD-Abell-2218,2HERMES S350 SF J163435.5+661440,248.64792,66.2445,6.595649,0.5547092
CD-Abell-2218,2HERMES S350 SF J163437.2+661021,248.65512,66.1727,13.296657,0.47751337
CD-Abell-2218,2HERMES S350 SF J163437.3+661101,248.65558,66.18385,50.22421,0.5342637
CD-Abell-2218,2HERMES S350 SF J163437.8+660927,248.6578,66.15754,6.0276814,0.5148785
CD-Abell-2218,2HERMES S350 SF J163438.1+661241,248.65916,66.21161,27.60699,0.4941867
CD-Abell-2218,2HERMES S350 SF J163438.3+661623,248.65999,66.27319,17.830194,0.55122524
CD-Abell-2218,2HERMES S350 SF J163438.8+661047,248.66196,66.179855,4.6309085,0.5557746
CD-Abell-2218,2HERMES S350 SF J163439.4+661419,248.66457,66.23881,6.2637873,0.56038034
CD-Abell-2218,2HERMES S350 SF J163440.2+661136,248.66751,66.19348,8.037763,0.42133975
CD-Abell-2218,2HERMES S350 SF J163440.3+661222,248.6681,66.20637,4.1303053,0.49788797
CD-Abell-2218,2HERMES S350 SF J163440.8+661605,248.67027,66.26812,16.532913,0.52526456
CD-Abell-2218,2HERMES S350 SF J163441.4+661506,248.67253,66.25172,10.22277,0.47037822
CD-Abell-2218,2HERMES S350 SF J163442.3+661033,248.67657,66.17589,26.202631,0.5050121
CD-Abell-2218,2HERMES S350 SF J163443.0+660821,248.67932,66.139175,4.8698974,0.538553
CD-Abell-2218,2HERMES S350 SF J163443.0+661113,248.6793,66.187164,7.0049047,0.52265036
CD-Abell-2218,2HERMES S350 SF J163443.1+661419,248.67982,66.23886,6.595864,0.512577
CD-Abell-2218,2HERMES S350 SF J163443.4+661053,248.6811,66.181625,24.208776,0.52045316
CD-Abell-2218,2HERMES S350 SF J163443.6+660623,248.68182,66.10648,13.754827,0.65759003
CD-Abell-2218,2HERMES S350 SF J163443.6+661647,248.68167,66.27985,2.3868294,0.4826912
CD-Abell-2218,2HERMES S350 SF J163443.9+660934,248.6833,66.15952,8.627587,0.528957
CD-Abell-2218,2HERMES S350 SF J163443.9+661030,248.6831,66.17509,0,30.951033
CD-Abell-2218,2HERMES S350 SF J163445.1+660705,248.68802,66.1181,33.123123,0.71472883
CD-Abell-2218,2HERMES S350 SF J163445.4+660725,248.68922,66.12385,8.971589,0.69295084
CD-Abell-2218,2HERMES S350 SF J163445.5+661842,248.68968,66.3117,3.8331397,0.5822566
CD-Abell-2218,2HERMES S350 SF J163445.7+660955,248.6908,66.16546,10.037926,0.5018544
CD-Abell-2218,2HERMES S350 SF J163445.7+661257,248.69063,66.216095,9.229359,0.44933683
CD-Abell-2218,2HERMES S350 SF J163445.8+661144,248.69093,66.19571,6.7719893,0.4195617
CD-Abell-2218,2HERMES S350 SF J163446.3+661114,248.69293,66.18729,62.1934,0.49534115
CD-Abell-2218,2HERMES S350 SF J163446.8+660625,248.69522,66.10717,9.77521,0.67048365
CD-Abell-2218,2HERMES S350 SF J163447.1+660651,248.6964,66.11437,22.417036,0.63304394
CD-Abell-2218,2HERMES S350 SF J163447.6+661443,248.69864,66.24544,1.6894969,0.4603214
CD-Abell-2218,2HERMES S350 SF J163448.5+661046,248.70248,66.17959,6.868221,0.42394525
CD-Abell-2218,2HERMES S350 SF J163448.6+661618,248.70262,66.27192,20.411663,0.46433234
CD-Abell-2218,2HERMES S350 SF J163448.7+660730,248.70325,66.12524,8.089851,0.534617
CD-Abell-2218,2HERMES S350 SF J163448.7+661208,248.7033,66.20241,6.7123938,0.41553497
CD-Abell-2218,2HERMES S350 SF J163449.8+661719,248.70773,66.28867,4.448335,0.5347396
CD-Abell-2218,2HERMES S350 SF J163450.1+661246,248.70883,66.212875,5.9588866,0.45640737
CD-Abell-2218,2HERMES S350 SF J163450.5+660624,248.71059,66.10677,8.853029,0.53482896
CD-Abell-2218,2HERMES S350 SF J163450.6+660753,248.71097,66.131584,7.028292,0.5384417
CD-Abell-2218,2HERMES S350 SF J163450.6+660933,248.71104,66.15941,15.069334,0.4412305
CD-Abell-2218,2HERMES S350 SF J163452.1+660832,248.71732,66.14226,7.4052405,0.45428246
CD-Abell-2218,2HERMES S350 SF J163452.3+661300,248.71793,66.216896,24.95155,0.4726597
CD-Abell-2218,2HERMES S350 SF J163452.6+662209,248.71956,66.36941,29.054132,0.6811087
CD-Abell-2218,2HERMES S350 SF J163453.1+661640,248.72125,66.27786,4.2894726,0.5158244
CD-Abell-2218,2HERMES S350 SF J163453.6+660951,248.7236,66.164185,1.9557397,0.4702144
CD-Abell-2218,2HERMES S350 SF J163454.1+662236,248.7257,66.37669,14.674058,0.6482287
