Catalog of Fluxes for Abell 2218 using /data/mercado/SPIRE/hermes_clusters/a2218_PSW_nr_1.fits 
Mean percent error of XID flux with HeDam Flux is: 113.47734263724601 
Source Num     Pixel x          Pixel y     HeDam Flux         XID flux     DAO flux     Peak Flux 
 0              160.12197       20.15929       0.01522          0.01454        0.03144        0.02252  
1              148.66072       20.99151       0.00881          0.00532        0.02222        0.01259  
2              165.72576       23.52626       0.01522          0.00384        0.00812        0.02252  
3              158.16677       24.89741       0.00157          0.01486        0.01083        0.01249  
4              148.41551       25.73149       0.00000          0.00644        0.01340        0.01259  
5              90.89756       28.64315       0.01293          0.00379        0.00885        0.04251  
6              160.84386       28.92017       0.01522          0.01221        0.01141        0.01249  
7              176.92995       28.40636       0.00000          0.00226        0.00751        0.01555  
8              98.94763       31.13733       0.00000          0.00396        0.01065        0.01537  
9              157.18643       30.95659       0.00157          0.00440        0.00486        0.01249  
10              108.94332       33.27115       0.00000          0.00737        0.03675        0.02977  
11              144.75870       33.29095       0.00000          0.02303        0.03230        0.02668  
12              88.72433       34.23095       0.01293          0.01321        0.00814        0.02151  
13              153.28454       35.93377       0.00881          0.01112        0.01316        0.01092  
14              170.82556       34.87450       0.00000          0.00220        0.00568        0.01249  
15              180.32673       34.83414       0.02734          0.00310        0.01385        0.02054  
16              72.65059       35.49760       0.02614          0.00329        0.00666        0.00984  
17              83.86434       37.42937       0.02795          0.01553        0.02230        0.02151  
18              156.45010       37.43604       0.00433          0.01699        0.01167        0.01029  
19              99.45514       38.03594       0.00000          0.01037        0.00841        0.00887  
20              148.16830       38.33154       0.00000          0.00616        0.01817        0.01399  
21              82.16368       38.51618       0.02795          0.01806        0.01970        0.01724  
22              90.93472       39.32319       0.01293          0.00607        0.01514        0.01266  
23              92.39397       38.71818       0.01293          0.00701        0.01080        0.01266  
24              153.76935       39.65411       0.00000          0.01717        0.00978        0.01092  
25              167.65111       39.66930       0.00195          0.00151        0.00847        0.02281  
26              110.17737       40.40845       0.00000          0.00456        0.00700        0.02977  
27              143.05375       41.99103       0.00000          0.00682        0.00582        0.03992  
28              77.55150       42.07562       0.02614          0.02361        0.03149        0.02584  
29              85.10192       42.52463       0.02795          0.01173        0.00470        0.01724  
30              147.19314       42.71134       0.00000          0.00882        0.00882        0.00868  
31              179.82131       42.57304       0.02734          0.01496        0.02322        0.02054  
32              102.88108       43.96640       0.01001          0.01987        0.00527        0.00887  
33              158.87994       43.49826       0.01560          0.00499        0.01696        0.02281  
34              171.05310       43.93499       0.00826          0.00176        0.00842        0.02054  
35              143.29744       45.89105       0.04477          0.02497        0.04583        0.03992  
36              154.49584       45.65464       0.00472          0.00451        0.00659        0.02281  
37              114.57407       47.23941       0.00000          0.00774        0.00911        0.00977  
38              136.72499       46.79277       0.00538          0.00506        0.02048        0.01515  
39              179.07826       48.03137       0.02734          0.00192        0.00770        0.02054  
40              121.14944       49.26816       0.00000          0.00373        0.01156        0.01027  
41              86.83384       49.83816       0.00000          0.01202        0.01219        0.00995  
42              134.05020       51.23431       0.00883          0.00257        0.00916        0.01515  
43              144.27111       50.87107       0.00000          0.00756        0.01447        0.01028  
44              195.61970       51.07840       0.01099          0.00970        0.02625        0.02415  
45              97.55033       52.38180       0.01682          0.00686        0.01768        0.01157  
46              190.50168       53.52197       0.00000          0.00239        0.00710        0.01032  
47              118.96744       54.43163       0.00000          0.01689        0.01056        0.01314  
48              160.08611       54.11957       0.00064          0.00668        0.01725        0.02252  
49              202.42221       54.10298       0.00855          0.00228        0.00713        0.01742  
50              154.00296       54.77437       0.00000          0.00377        0.01534        0.01195  
51              103.64234       55.60450       0.00357          0.00247        0.00605        0.01157  
52              115.80694       55.75716       0.01058          0.01139        0.01538        0.01314  
53              196.57677       55.82173       0.00000          0.01007        0.00758        0.00911  
54              221.14820       55.92625       0.00000          0.00974        0.01489        0.01812  
55              76.40003       56.96095       0.05945          0.00932        0.00528        0.03437  
56              88.32240       57.57276       0.00000          0.01279        0.01157        0.01055  
57              93.18808       57.73577       0.01756          0.00844        0.00467        0.01055  
58              109.24310       57.87072       0.00000          0.00198        0.00701        0.02977  
59              167.13632       57.90866       0.03429          0.04639        0.03148        0.02873  
60              209.94142       59.53373       0.00421          0.02011        0.01834        0.02837  
61              222.83905       58.27495       0.00000          0.00750        0.01093        0.01028  
62              130.40824       60.59718       0.00000          0.00167        0.00524        0.01163  
63              199.96794       59.85386       0.01721          0.00513        0.01997        0.01742  
64              75.20486       61.64638       0.05945          0.03685        0.02840        0.03437  
65              109.00716       61.05129       0.01444          0.00214        0.01799        0.02977  
66              120.19578       61.98971       0.00000          0.00512        0.00498        0.01314  
67              185.37128       61.12727       0.00000          0.00290        0.01373        0.00973  
68              191.45214       60.84498       0.00000          0.00761        0.01530        0.01337  
69              77.88333       62.41454       0.05945          0.04184        0.04357        0.04379  
70              86.87773       61.53816       0.00000          0.00428        0.00652        0.01055  
71              95.87750       62.04710       0.00000          0.01654        0.01760        0.01155  
72              101.95872       62.62911       0.00482          0.00245        0.00907        0.01155  
73              134.54448       63.41407       0.00000          0.00299        0.00868        0.01163  
74              205.55176       62.39542       0.00000          0.01104        0.01214        0.01266  
75              227.67391       63.76084       0.01467          0.00441        0.00821        0.01079  
76              92.48026       64.21823       0.01756          0.03012        0.02048        0.01912  
77              151.80817       64.73314       0.00588          0.00239        0.00443        0.02690  
78              178.07013       63.44922       0.00908          0.00310        0.00866        0.00976  
79              201.16646       64.53837       0.02232          0.01090        0.01495        0.02546  
80              106.82980       65.73648       0.00000          0.00490        0.01233        0.00866  
81              129.68285       65.09787       0.00510          0.00159        0.00617        0.01163  
82              142.32581       65.27123       0.06012          0.02340        0.04781        0.01117  
83              218.66977       65.21409       0.00000          0.00261        0.01296        0.01028  
84              116.06982       66.43675       0.07457          0.03918        0.07445        0.01314  
85              163.96418       65.46422       0.00615          0.00246        0.00780        0.02873  
86              169.06768       66.79177       0.00000          0.00794        0.00666        0.00976  
87              212.35102       64.58443       0.00000          0.01149        0.00508        0.02837  
88              173.44278       67.21960       0.00000          0.00741        0.01244        0.00976  
89              96.14144       68.64633       0.00000          0.02942        0.01219        0.01155  
