Field,IAU,RA,Dec,F500,e_F500
CS-Abell-370,2HERMES S500 SF J023917.6-012858,39.82359,-1.4828628,4.5706034,1.9814501
CS-Abell-370,2HERMES S500 SF J023920.7-012959,39.83663,-1.4997239,10.497823,1.4953203
CS-Abell-370,2HERMES S500 SF J023922.1-013035,39.842175,-1.5097376,9.344635,1.885885
CS-Abell-370,2HERMES S500 SF J023923.7-013246,39.849007,-1.5461146,19.175367,1.7984583
CS-Abell-370,2HERMES S500 SF J023924.5-012810,39.852486,-1.4695728,13.62061,2.0873535
CS-Abell-370,2HERMES S500 SF J023925.4-013404,39.855877,-1.5679581,13.602563,1.3837887
CS-Abell-370,2HERMES S500 SF J023926.4-012932,39.86008,-1.4923387,37.365936,1.4905217
CS-Abell-370,2HERMES S500 SF J023928.6-013038,39.86919,-1.510771,12.9368725,1.1783929
CS-Abell-370,2HERMES S500 SF J023928.9-013556,39.870716,-1.5990244,13.484778,1.2502378
CS-Abell-370,2HERMES S500 SF J023929.5-013737,39.873108,-1.627088,10.43216,1.4056065
CS-Abell-370,2HERMES S500 SF J023929.6-013234,39.87369,-1.5429218,26.85617,1.1204993
CS-Abell-370,2HERMES S500 SF J023930.2-013331,39.87617,-1.5586272,10.539622,1.409528
CS-Abell-370,2HERMES S500 SF J023930.9-012923,39.878944,-1.4899993,30.488592,1.674219
CS-Abell-370,2HERMES S500 SF J023931.3-012752,39.880814,-1.4647206,30.979855,1.671354
CS-Abell-370,2HERMES S500 SF J023931.6-012844,39.88189,-1.4789603,26.49888,1.6451509
CS-Abell-370,2HERMES S500 SF J023932.0-013403,39.88337,-1.567713,15.2695055,1.3409635
CS-Abell-370,2HERMES S500 SF J023932.0-013623,39.883373,-1.6064798,7.4595575,1.0803268
CS-Abell-370,2HERMES S500 SF J023934.5-013829,39.89388,-1.6414096,12.776146,1.1425153
CS-Abell-370,2HERMES S500 SF J023934.8-012842,39.89518,-1.4785357,27.661867,1.373755
CS-Abell-370,2HERMES S500 SF J023935.5-013741,39.898197,-1.6282673,17.513786,1.4306198
CS-Abell-370,2HERMES S500 SF J023935.8-013409,39.899487,-1.5693136,16.093596,1.2027701
CS-Abell-370,2HERMES S500 SF J023935.8-013617,39.89946,-1.6049051,6.9047966,0.95695686
CS-Abell-370,2HERMES S500 SF J023936.9-012811,39.903847,-1.4699328,19.62845,1.6212493
CS-Abell-370,2HERMES S500 SF J023937.0-013311,39.904236,-1.5531945,30.658154,1.1072245
CS-Abell-370,2HERMES S500 SF J023937.0-014206,39.904312,-1.7016917,10.944686,1.4726157
CS-Abell-370,2HERMES S500 SF J023937.2-012854,39.905132,-1.4817811,38.295574,1.4183939
CS-Abell-370,2HERMES S500 SF J023937.7-014054,39.90709,-1.681907,5.8847337,1.156278
CS-Abell-370,2HERMES S500 SF J023938.4-013119,39.91029,-1.5220743,34.392216,1.0787884
CS-Abell-370,2HERMES S500 SF J023938.5-013319,39.910526,-1.5554034,11.780372,1.057856
CS-Abell-370,2HERMES S500 SF J023938.6-012924,39.911034,-1.4901252,6.0837297,2.094845
CS-Abell-370,2HERMES S500 SF J023938.8-013824,39.911743,-1.6401825,36.230755,1.090261
CS-Abell-370,2HERMES S500 SF J023938.9-013525,39.912262,-1.59029,9.275153,0.9039823
CS-Abell-370,2HERMES S500 SF J023939.2-013150,39.91353,-1.5307103,5.9437604,0.980272
CS-Abell-370,2HERMES S500 SF J023939.6-013020,39.91522,-1.5056127,19.078314,1.518939
CS-Abell-370,2HERMES S500 SF J023939.8-012806,39.915844,-1.4685037,13.385341,1.5625033
CS-Abell-370,2HERMES S500 SF J023939.8-013348,39.916073,-1.5635828,10.717664,0.9361106
CS-Abell-370,2HERMES S500 SF J023940.4-013728,39.918476,-1.6244866,9.559265,0.8906022
CS-Abell-370,2HERMES S500 SF J023940.8-013123,39.92041,-1.5231073,14.402425,0.9830524
CS-Abell-370,2HERMES S500 SF J023941.0-013854,39.921177,-1.6483449,31.377504,1.1772989
CS-Abell-370,2HERMES S500 SF J023942.4-012749,39.926746,-1.4637542,11.846348,1.6876122
CS-Abell-370,2HERMES S500 SF J023942.8-013008,39.92852,-1.5024948,6.9122343,1.0132737
CS-Abell-370,2HERMES S500 SF J023943.4-013858,39.931107,-1.6495734,23.152782,0.99766666
CS-Abell-370,2HERMES S500 SF J023943.5-013453,39.931644,-1.5814173,0.84445965,0.81620735
CS-Abell-370,2HERMES S500 SF J023944.0-014439,39.933685,-1.7443098,17.793118,3.005845
CS-Abell-370,2HERMES S500 SF J023944.7-013255,39.93647,-1.5487895,12.507745,0.87927836
CS-Abell-370,2HERMES S500 SF J023944.9-013530,39.93715,-1.5918628,4.3513885,0.82783186
CS-Abell-370,2HERMES S500 SF J023945.3-013651,39.938778,-1.6142206,6.005371,0.8372275
CS-Abell-370,2HERMES S500 SF J023945.7-013739,39.940483,-1.6276486,17.233292,1.0640043
CS-Abell-370,2HERMES S500 SF J023945.9-014113,39.941315,-1.6870899,15.4927635,1.5344657
CS-Abell-370,2HERMES S500 SF J023946.0-013234,39.941887,-1.542878,21.177933,0.9342787
