1000 iterations     300 iterations 
4.05037                4.60545 
6.53261                6.35317 
2.64532                2.49415 
10.99092                11.13706 
1.47390                1.46923 
9.46900                8.64217 
4.24455                4.04071 
1.29514                1.08273 
3.03926                3.00299 
2.08776                1.92673 
10.59725                10.61899 
4.03820                4.06034 
3.81735                3.47145 
2.11515                2.10760 
3.34959                3.19447 
2.82592                2.98602 
6.07554                6.62475 
5.49841                5.64047 
9.67326                9.56934 
5.76137                5.89785 
3.95428                4.14622 
2.11139                2.15288 
1.45851                1.49305 
7.57983                7.10089 
2.85584                2.93747 
4.70709                4.71066 
4.98923                5.11907 
6.74250                6.45382 
9.02463                8.87765 
6.35970                6.13264 
2.48175                2.17010 
8.59884                7.50183 
9.80177                9.42370 
5.07647                4.86493 
6.68032                7.08255 
6.00385                5.82084 
4.50288                4.81775 
4.52948                4.45397 
5.54056                5.83658 
6.27532                6.28501 
6.33049                6.46151 
5.27104                5.29870 
5.45774                5.78213 
7.72925                6.74553 
6.09400                6.39200 
10.79996                9.70467 
8.19236                7.80423 
6.18585                5.39644 
10.65515                10.67222 
7.38272                7.04147 
10.66058                9.64036 
11.51041                11.50850 
8.75608                8.88776 
11.24389                11.79865 
9.11870                9.74808 
10.01120                9.70860 
