   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME
    33   225.158  -251.218   336.052     0.032     0.032     1.005      0.01  -599371.4       0.0
    32    44.389    72.783    85.140     0.190     0.194     1.253      0.24  -98641.2  500730.2
    31  -873.979   403.806   964.156     0.006     0.006     1.000      0.00  -1077881.1  -478509.6
    30  -800.840  -477.817   933.312     0.006     0.006     1.000      0.00  -1069252.0  -469880.6
    29  -120.613   530.461   544.886     0.018     0.018     1.002      0.00  -768293.8       0.0
    28   458.907  -590.108   746.284     0.009     0.009     1.001      0.00  -960401.0  -192107.2
    27  -652.278  -405.145   768.599     0.008     0.008     1.000      0.00  -972804.2  -204510.3
    26   179.636    27.797   180.631     0.076     0.076     1.023      0.02  -347124.3  421169.5
    25   219.756  -727.675   759.176     0.009     0.009     1.001      0.00  -966172.4  -197878.6
    24  -158.132  -207.465   261.129     0.048     0.048     1.013      0.01  -493866.9  274426.9
    23  -451.509   444.476   634.907     0.012     0.012     1.001      0.00  -859742.5  -91448.7
    22  -868.404  -100.721   875.400     0.007     0.007     1.000      0.00  -1036048.6  -267754.8
    21   584.439  -247.976   633.472     0.011     0.011     1.001      0.00  -881550.0  -113256.2
    20   813.835  -623.959  1024.126     0.005     0.005     1.000      0.00  -1118283.7  -349989.9
    19  -383.502   443.930   587.932     0.014     0.014     1.001      0.00  -819448.2       0.0
    18  -718.883  -881.216  1137.561     0.004     0.004     1.000      0.00  -1168626.4  -349178.2
    17  -329.830  -482.909   584.994     0.014     0.014     1.001      0.00  -839811.7  -20363.5
    16   757.893  -612.090   972.828     0.005     0.005     1.000      0.00  -1092367.9  -272919.7
    15   784.080   -88.797   787.775     0.008     0.008     1.000      0.00  -984152.8  -164704.5
    14  -284.347   881.585   927.285     0.007     0.007     1.000      0.00  -1041492.2  -222044.0
    13    27.348   310.312   312.027     0.048     0.048     1.014      0.02  -500960.7  318487.5
    12  -439.755   579.576   728.780     0.010     0.010     1.001      0.00  -924698.5  -105250.3
    11   578.137  -320.264   659.518     0.011     0.011     1.001      0.00  -901344.2  -81895.9
    10  -322.456  -823.191   883.973     0.007     0.007     1.001      0.00  -1039697.1  -220248.9
     9   315.952   811.701   871.151     0.007     0.007     1.001      0.00  -1007276.4       0.0
     8  -221.550  -656.925   693.092     0.010     0.010     1.001      0.00  -919751.3       0.0
     7   328.403  -236.756   403.466     0.024     0.024     1.003      0.00  -676926.5       0.0
     6   309.438  -620.695   692.436     0.010     0.010     1.001      0.00  -922775.3       0.0
     5   755.122   579.386   951.170     0.006     0.006     1.000      0.00  -1063795.1       0.0
     4  -457.799   852.224   968.544     0.006     0.006     1.000      0.00  -1067440.2       0.0
     3   255.879  -363.711   443.472     0.021     0.021     1.003      0.00  -717349.8       0.0
     2   590.437  -770.554   969.500     0.005     0.005     1.000      0.00  -1089901.0       0.0
     1    17.270  -276.796   276.638     0.045     0.045     1.013      0.01  -516308.4       0.0
   180    13.849  -197.729   197.509     0.105     0.105     1.043      0.05  -391949.7       0.0
   179  -594.546  -458.536   751.441     0.013     0.013     1.001      0.00  -960939.5       0.0
   178  -142.803  -439.821   462.221     0.031     0.031     1.005      0.01  -728949.9  231989.6
   177  -821.194   115.233   830.569     0.011     0.011     1.000      0.00  -1006655.3  -45715.8
   176  -415.468   136.816   438.802     0.033     0.033     1.003      0.00  -696472.5  264467.0
   175  -850.017   143.344   863.359     0.010     0.010     1.000      0.00  -1025690.5  -64751.1
   174  -734.060   322.548   803.197     0.012     0.012     1.001      0.00  -985242.9  -24303.5
   173   -72.907  -293.637   302.254     0.060     0.060     1.016      0.02  -547425.1  413514.3
   172  -132.126   879.420   890.092     0.011     0.011     1.001      0.00  -1017408.7  -56469.3
   171   145.619  -409.059   433.200     0.033     0.033     1.005      0.01  -703221.2  257718.3
   170    32.893  -887.923   887.865     0.010     0.010     1.001      0.00  -1041716.1  -80776.7
   169  -111.640   630.000   640.648     0.020     0.020     1.002      0.00  -847802.3       0.0
   168   -95.488    10.305    97.358     0.199     0.203     1.143      0.14  -172464.4  675337.9
   167   833.030   633.017  1045.633     0.007     0.007     1.000      0.00  -1112620.3  -264818.0
   166  -168.977  -147.684   224.957     0.085     0.086     1.025      0.03  -435970.6  411831.7
   165  -565.466   369.679   676.975     0.016     0.016     1.001      0.00  -896201.7  -48399.4
   164   694.660   747.642  1020.151     0.008     0.008     1.000      0.00  -1096149.5  -248347.2
   163  -826.997   212.733   855.290     0.010     0.010     1.000      0.00  -1019718.3  -171916.0
   162     1.753  -636.449   635.827     0.018     0.018     1.002      0.00  -877841.5  -30039.3
   161   651.250   616.764   896.470     0.010     0.010     1.001      0.00  -1030390.9  -182588.6
   160  -259.286   162.577   307.434     0.060     0.060     1.010      0.01  -530628.7  317173.6
   159  -803.828   585.045   995.572     0.008     0.008     1.000      0.00  -1090353.4       0.0
   158  -439.977  -226.757   495.805     0.026     0.026     1.003      0.00  -763558.3  326795.1
   157   -78.969   775.069   779.828     0.014     0.014     1.001      0.00  -947922.0  142431.4
   156  -665.679  -215.093   700.570     0.015     0.015     1.001      0.00  -926719.0  163634.4
   155   322.562   185.688   371.416     0.045     0.045     1.007      0.01  -609845.7  480507.8
   154  -646.596   667.802   930.861     0.009     0.009     1.000      0.00  -1052134.7   38218.7
   153  -128.313   537.715   553.709     0.026     0.026     1.004      0.00  -775402.2  314951.2
   152  -814.934  -223.623   846.105     0.010     0.010     1.000      0.00  -1019462.2   70891.3
   151  -214.036   733.903   765.426     0.014     0.014     1.001      0.00  -940814.2  149539.2
   150   845.513   -23.597   844.570     0.010     0.010     1.000      0.00  -1016982.0   73371.4
   149  -563.690   179.387   592.930     0.020     0.020     1.001      0.00  -838107.0       0.0
   148  -616.625  -862.498  1060.474     0.007     0.007     1.000      0.00  -1132201.4  -294094.5
   147  -329.041   -72.746   338.079     0.048     0.048     1.007      0.01  -593108.2  244998.8
   146   192.028  -540.557   572.646     0.021     0.021     1.002      0.00  -830621.9    7485.1
   145  -212.595   -17.263   214.496     0.090     0.090     1.023      0.02  -411573.7  426533.3
   144   104.677    30.584   108.027     0.190     0.193     1.126      0.13  -186289.3  651817.7
   143  -396.256   429.392   585.599     0.022     0.022     1.002      0.00  -817575.4   20531.6
   142   445.708   113.121   458.777     0.031     0.031     1.003      0.00  -716621.4  121485.6
   141  -856.830  -841.760  1201.592     0.006     0.006     1.000      0.00  -1196911.8  -358804.8
   140  -275.249   592.244   654.175     0.019     0.019     1.002      0.00  -863826.9  -25720.0
   139  -792.908   568.057   976.775     0.008     0.008     1.000      0.00  -1080670.6       0.0
   138   676.009  -880.286  1108.648     0.006     0.006     1.000      0.00  -1157505.8  -76835.2
   137   516.093   637.521   819.929     0.012     0.012     1.001      0.00  -981237.2   99433.4
   136  -617.851  -576.564   845.578     0.011     0.011     1.001      0.00  -1018905.8   61764.7
   135  -144.558   313.819   346.605     0.056     0.056     1.012      0.01  -557418.3  523252.3
   134  -492.896  -559.298   745.858     0.013     0.013     1.001      0.00  -956520.0  124150.6
   133  -252.851   841.277   879.411     0.011     0.011     1.001      0.00  -1013021.0   67649.6
   132   231.244  -258.517   345.550     0.046     0.046     1.007      0.01  -608976.4  471694.1
   131   -12.062  -103.933   104.166     0.208     0.212     1.156      0.16  -213558.2  867112.4
   130   623.765  -668.569   913.057     0.009     0.009     1.000      0.00  -1059866.4   20804.1
   129   768.783  -413.553   871.557     0.010     0.010     1.000      0.00  -1036854.9       0.0
   128   736.331   358.673   818.187     0.012     0.012     1.001      0.00  -991196.9   45658.0
   127   751.157  -570.949   942.139     0.009     0.009     1.000      0.00  -1075930.4  -39075.6
   126  -621.762   633.905   889.255     0.010     0.010     1.001      0.00  -1028720.4    8134.4
   125   -68.670  -861.031   863.246     0.010     0.010     1.001      0.00  -1027283.8    9571.1
   124   533.619   -80.624   538.341     0.023     0.023     1.002      0.00  -800936.0  235918.8
   123  -543.565   227.932   590.818     0.020     0.020     1.001      0.00  -834269.8  202585.1
   122   545.651  -502.935   740.733     0.013     0.013     1.001      0.00  -956860.9   79993.9
   121   372.274   462.728   593.589     0.022     0.022     1.002      0.00  -817524.5  219330.4
   120   225.469   459.498   511.843     0.030     0.030     1.004      0.00  -737847.0  299007.9
   119   100.629   674.731   682.625     0.018     0.018     1.002      0.00  -878315.7       0.0
   118   507.638   177.610   536.834     0.024     0.024     1.002      0.00  -787321.2   90994.6
   117   394.992  -746.535   843.455     0.011     0.011     1.001      0.00  -1018941.9  -140626.2
   116   180.017  -130.088   220.720     0.084     0.085     1.021      0.02  -434252.4  444063.3
   115   135.005  -220.232   257.134     0.071     0.071     1.018      0.02  -490091.3  388224.4
   114   378.930  -748.601   837.920     0.011     0.011     1.001      0.00  -1015552.6  -137236.9
   113   838.234  -521.537   985.843     0.008     0.008     1.000      0.00  -1098690.0  -220374.2
   112  -491.831   356.202   608.652     0.020     0.020     1.001      0.00  -842511.1   35804.7
   111   860.131  -220.542   886.585     0.010     0.010     1.000      0.00  -1043917.6  -165601.9
   110  -536.971  -279.256   606.073     0.019     0.019     1.001      0.00  -857391.3   20924.5
   109     9.078  -337.217   336.686     0.051     0.051     1.012      0.01  -592343.1       0.0
   108   160.983   533.596   557.586     0.026     0.026     1.004      0.00  -777007.7  -184664.7
   107  -586.854    70.229   592.362     0.020     0.020     1.001      0.00  -841431.7  -249088.6
   106   897.174  -851.656  1235.690     0.005     0.005     1.000      0.00  -1213621.0  -621278.0
   105   345.940   595.756   688.821     0.017     0.017     1.002      0.00  -888344.0  -296000.9
   104   361.357    40.011   362.388     0.044     0.044     1.005      0.01  -615711.5  -23368.4
   103   534.264  -564.037   775.587     0.012     0.012     1.001      0.00  -979110.0  -386766.9
   102  -462.938   129.374   482.052     0.028     0.028     1.002      0.00  -741011.7  -148668.6
   101  -882.626   612.818  1075.897     0.007     0.007     1.000      0.00  -1130924.7  -538581.6
   100  -336.330   810.080   878.181     0.011     0.011     1.001      0.00  -1014066.8  -421723.7
    99  -428.230  -644.611   774.067     0.013     0.013     1.001      0.00  -974109.8       0.0
    98   350.109  -144.055   377.190     0.040     0.040     1.005      0.01  -644581.2  329528.6
    97  -134.314  -378.565   401.522     0.039     0.039     1.007      0.01  -666524.5  307585.2
    96  -606.741   300.049   678.279     0.016     0.016     1.001      0.00  -900122.4   73987.4
    95  -451.279  -646.475   788.615     0.012     0.012     1.001      0.00  -983400.2   -9290.4
    94   409.693  -379.914   557.391     0.021     0.021     1.002      0.00  -821248.4  152861.4
    93  -619.072  -535.518   819.096     0.011     0.011     1.001      0.00  -1003246.6  -29136.9
    92   -72.899  -687.014   690.386     0.016     0.016     1.002      0.00  -917168.5   56941.3
    91   380.870   261.789   461.484     0.032     0.032     1.004      0.00  -706101.1  268008.7
    90   829.157  -856.840  1191.021     0.006     0.006     1.000      0.00  -1194592.0  -220482.3
    89  -301.915   662.770   729.384     0.015     0.015     1.001      0.00  -918967.8       0.0
    88  -107.111   -36.067   114.015     0.174     0.177     1.101      0.10  -223470.5  695497.3
    87   829.408  -770.823  1130.950     0.006     0.006     1.000      0.00  -1168239.3  -249271.5
    86  -466.302  -875.989   992.410     0.008     0.008     1.001      0.00  -1097956.3  -178988.5
    85  -385.973   713.124   812.022     0.012     0.012     1.001      0.00  -975611.5  -56643.7
