#REFERENCE 3 39.9711520 -1.5822620
   #ID       X         Y         R       EPS       TAU       AMP       DMAG  TIME[days]  DTIME    PARITY
   695  1105.801  -590.922  1253.788     0.001     0.001     1.000      0.00  -1283168.0       0.0    ++
   694  1793.888  1173.040  2143.375     0.000     0.000     1.000      0.00  -1562698.9  -279530.9    ++
   693  1403.431  -433.308  1468.800     0.001     0.001     1.000      0.00  -1366143.3  -82975.2    ++
   691  1562.152  -515.573  1645.033     0.001     0.001     1.000      0.00  -1426759.0  -143591.0    ++
   690  1558.364  1466.327  2139.769     0.000     0.000     1.000      0.00  -1559891.7  -276723.7    ++
   689  -686.005  -653.301   947.315     0.001     0.001     1.000      0.00  -1136120.2       0.0    ++
   687  -605.806   966.399  1140.582     0.001     0.001     1.000      0.00  -1216124.8  -80004.6    ++
   685  -678.198  1438.587  1590.435     0.001     0.001     1.000      0.00  -1394678.0  -258557.8    ++
   682   686.993   272.289   738.987     0.002     0.002     1.000      0.00  -999215.1  136905.1    ++
   680  -470.787     8.792   470.869     0.005     0.005     1.000      0.00  -791635.8  344484.3    ++
   678   128.381    52.147   138.568     0.027     0.027     1.012      0.01  -297271.3       0.0    ++
   673  -263.965  1735.633  1755.591     0.000     0.000     1.000      0.00  -1446339.9  -1149068.6    ++
   672   333.037   144.718   363.121     0.008     0.008     1.001      0.00  -657446.4  -360175.1    ++
   671  -597.120  1160.266  1304.902     0.001     0.001     1.000      0.00  -1287316.2  -990044.9    ++
   670    84.556  1563.344  1565.629     0.001     0.001     1.000      0.00  -1382354.2  -1085082.9    ++
   666  -234.114  1515.559  1533.534     0.001     0.001     1.000      0.00  -1371852.0       0.0    ++
   664   481.876  -615.722   781.868     0.002     0.002     1.000      0.00  -1040422.2  331429.8    ++
   662   943.012   879.998  1289.833     0.001     0.001     1.000      0.00  -1283413.2   88438.8    ++
   660  -350.371  -467.783   584.449     0.003     0.003     1.000      0.00  -895389.0  476463.0    ++
   658   525.612   520.818   739.946     0.002     0.002     1.000      0.00  -989029.4       0.0    ++
   654   535.907   955.097  1095.174     0.001     0.001     1.000      0.00  -1190267.3  -201237.9    ++
   652   611.294    52.618   613.555     0.003     0.003     1.000      0.00  -913732.5   75296.9    ++
   651  1012.955  -644.947  1200.847     0.001     0.001     1.000      0.00  -1260683.9  -271654.5    ++
   648    56.045   887.169   888.937     0.002     0.002     1.000      0.00  -1074968.8       0.0    ++
   646  -638.991  1662.128  1780.724     0.000     0.000     1.000      0.00  -1455958.8  -380989.9    ++
   644  1063.597   930.207  1412.984     0.001     0.001     1.000      0.00  -1333227.6  -258258.8    ++
   643  1123.677  -619.387  1283.078     0.001     0.001     1.000      0.00  -1295333.4  -220364.5    ++
   641  -398.294   193.187   442.673     0.006     0.006     1.001      0.00  -752253.6  322715.2    ++
   639  -627.612    91.049   634.182     0.003     0.003     1.000      0.00  -931492.7       0.0    ++
   637  -235.462   728.436   765.546     0.002     0.002     1.000      0.00  -1000041.5  -68548.8    ++
   635   613.919  1477.636  1600.095     0.001     0.001     1.000      0.00  -1395498.1  -464005.4    ++
   632    -2.152   704.443   704.446     0.003     0.003     1.000      0.00  -952386.4  -20893.6    ++
   627  -546.396  -418.395   688.188     0.003     0.003     1.000      0.00  -976056.2       0.0    ++
